,p,M(p)
0,"[400, 450)",1.0
1,"[450, 500)",1.0
2,"[500, 550)",1.0
3,"[550, 600)",1.0
4,"[600, 650)",1.0
5,"[650, 700)",1.0
6,"[700, 750)",1.0
7,"[750, 800)",1.0
8,"[800, 850)",1.0
9,"[850, 900)",1.0
10,"[900, 950)",1.0
11,"[950, 1000)",1.0
12,"[1000, 1100)",1.0
13,"[1100, 1200)",1.0
14,"[1200, 1300)",1.0
15,"[1300, 1400)",1.0
16,"[1400, 1500)",1.0
17,"[1500, 1600)",1.0
18,"[1600, 1700)",1.0
19,"[1700, 1800)",1.0
20,"[1800, 1900)",1.0
21,"[1900, 2000)",1.0
22,"[2000, 2500)",1.0
23,"[2500, 3000)",1.0
24,"[3000, 3500)",1.0
25,"[3500, 4000)",0.0
26,"[4000, 5000)",1.0
27,"[5000, 7000)",0.0
